sim_id,true_scaipw_rd,true_scaipw_se,true_sctmle_rd,true_sctmle_se,main_scaipw_rd,main_scaipw_se,main_sctmle_rd,main_sctmle_se
135,-0.11719790209030055,0.023618831969776547,-0.10150575969294288,0.02196571069019274,-0.13162595290529064,0.023021179177739985,-0.130993039545259,0.019856450886124685
136,-0.13351649061529505,0.021717857104587044,-0.13192874045424657,0.021104350940728354,-0.1515387339845435,0.018089099157184974,-0.15313755247193137,0.018033622741868288
137,-0.14465474390347555,0.020300359477409956,-0.1433153050423609,0.020323298629461643,-0.1436985083751994,0.017396631028656708,-0.14433737313615208,0.017297079535180497
138,-0.1552430234489117,0.019742864720942967,-0.14363163405012988,0.01881841417526949,-0.16303809671439282,0.020922710855916578,-0.1548612057290735,0.02046162091102152
139,-0.11356748918336473,0.029823890110440437,-0.10066914262480611,0.026376668956487947,-0.14450478786433485,0.02936363679597868,-0.12199701137476784,0.01880066563503061
140,-0.09449549163943759,0.023722812657733926,-0.10560866565141562,0.022855162923327687,-0.13080175848002046,0.02500464704013972,-0.11195863711077239,0.01988719205174014
141,-0.0870888887665632,0.022568060370346928,-0.08722685774845246,0.02238364359503005,-0.1086088456199632,0.02366976794973957,-0.10745646849111921,0.02360319528824877
142,-0.11204090468087945,0.024661800350015008,-0.1194397663678553,0.023407354343885464,-0.1520641559018902,0.03091481130833994,-0.1451718055507192,0.020577155175976067
143,-0.11606039726422013,0.023595134975783503,-0.12898263885800307,0.018808921907361435,-0.16596555493502294,0.036112409528823816,-0.1559234253397295,0.03741136913687106
144,-0.08925864663065196,0.02197430551758653,-0.09261609377660546,0.021090849987251442,-0.11956176391616907,0.02074854066879307,-0.11801968935210319,0.02287115808912977
145,-0.13152207742915356,0.02714683097537325,-0.1461493512611423,0.023977458963305824,-0.1525529407031678,0.03172279072375358,-0.13147042253552804,0.022003368759163647
146,-0.14161934867677203,0.02346207642364592,-0.1342816040068377,0.023746163047070928,-0.11744991475679954,0.04392316892084601,-0.14544799838439554,0.04427180212378215
