sim_id,true_gcomp_e0,true_gcomp_se,true_ipw_e0,true_ipw_se,true_aipw_e0,true_aipw_se,true_tmle_e0,true_tmle_se,true_scaipw_e0,true_scaipw_se,true_sctmle_e0,true_sctmle_se,main_gcomp_e0,main_gcomp_se,main_ipw_e0,main_ipw_se,main_aipw_e0,main_aipw_se,main_tmle_e0,main_tmle_se,main_scaipw_e0,main_scaipw_se,main_sctmle_e0,main_sctmle_se,ml_gcomp_e0,ml_gcomp_se,ml_ipw_e0,ml_ipw_se,ml_aipw_e0,ml_aipw_se,ml_tmle_e0,ml_tmle_se,ml_scaipw_e0,ml_scaipw_se,ml_sctmle_e0,ml_sctmle_se
11,0.30602564364455226,,0.356449547035315,0.04861510879247309,0.3341086744468345,0.03426339653928239,0.3154753200621166,0.0240660458968326,0.3552098273575343,0.09289379116691031,0.30396071749038694,0.01604032853726281,0.3111859271859119,,0.3018811710846761,0.025168273460106694,0.3189364756258559,0.025998536379992023,0.3163478363452268,0.02571771771487277,0.18022917216071282,0.12570615071144273,0.31565215424607884,0.06285055597130683,0.29413556354388454,,0.3071729820518385,0.01967270814346374,0.3060118071977817,0.016899072843605936,0.30791290069991284,0.016203573061173728,0.35370231831154025,0.0635320680393172,0.3162498875408193,0.02497083203976073
12,0.3580927716611219,,0.347243576391317,0.01882357393712664,0.3576580329705148,0.016660686379289708,0.3576672703135699,0.01666299268709527,0.3791795852790246,0.030728489513446353,0.3422557888542389,0.029738809361604987,0.36392310271649997,,0.3512694013867043,0.01797039746312238,0.36458383103595005,0.01609048958312442,0.3645684430645844,0.01608392877441597,0.5014328789662647,0.09735364808565354,0.36298740052004663,0.019550624513606882,0.3397342396887268,,0.34390575715208693,0.017110052399122173,0.35491728837910097,0.014891752852146108,0.35756633335221144,0.014768477916883174,0.4152969957503248,0.05205570929971558,0.35656560438443646,0.01604440252640534
13,0.35892545517654245,,0.3483342518524056,0.01939638259109665,0.34803486310178383,0.018135005082498483,0.3465741991621588,0.017793519845273786,0.3604493342806784,0.02009764823698671,0.35418028332848245,0.02036809647564233,0.37092909321928785,,0.3641400147082191,0.01990827889837179,0.37572796305576095,0.017668399629083283,0.3747244897861968,0.01748719619003071,0.3143256454763137,0.06862173928166126,0.37313330044833615,0.017849920621770283,0.3386264257171292,,0.3552779896731319,0.019373729978461214,0.3533311793304465,0.016126526502699357,0.3544607617493149,0.01577031882238698,0.361021402274085,0.01734649653865902,0.3548693419754436,0.015952834021569016
14,0.33622359552801245,,0.32425078377225397,0.021306498324488596,0.33169324149167273,0.014219463285624956,0.33124216219076524,0.014216192551129284,0.334728866937973,0.014528292860131471,0.3326341995511184,0.01608879074371732,0.3427511580877788,,0.340422450614315,0.021054247439917826,0.34063773208411424,0.014496445407257681,0.3408008706275144,0.014502183332955337,0.41406102397281386,0.05103694863272292,0.3494551818156078,0.016197164998016763,0.3215530906273168,,0.3020402434316411,0.01612738045802952,0.3254645457258226,0.013307464527198868,0.327165068960373,0.013332073074507482,0.38631295093563556,0.0469219319999497,0.3286770698413222,0.015063015705468311
15,0.3721533698014089,,0.3779123258101694,0.02477060996401493,0.3735035276022195,0.017505038413709244,0.37352264629242793,0.017482239016700624,0.2836364995097496,0.07227040826024315,0.3579110715505487,0.022132708311806807,0.3787107024337205,,0.40077767774636375,0.02854514118830321,0.3852483039190965,0.021752899749403178,0.3820007905048196,0.02166056238456868,0.31641415139292184,0.06998196399048628,0.3646800760599602,0.05810229733679781,0.35600254720749613,,0.3713829855814502,0.01965522972233725,0.37365043283086385,0.015712899577668804,0.37768910601772526,0.015355884775511499,0.33959192398410804,0.03008029823094459,0.3517901499399242,0.023041670056489372
16,0.3487321420076496,,0.3687192691427871,0.03642538207526125,0.35264989020820803,0.01610060158302792,0.35102120429267614,0.016234662449274875,0.3378533547600037,0.034813906183384445,0.36227162929916845,0.02276991713843527,0.35439257561615795,,0.41155481173584585,0.054108326088823544,0.3611378636314578,0.05519316354979558,0.3557241328864245,0.05543825443228916,0.220690407218233,0.09488206771950926,0.37783372233111395,0.06415642146796587,0.32149486183642434,,0.3471924666187691,0.020514082029177427,0.3451848277908726,0.01597232565822585,0.351284023498488,0.015041823067053999,0.34271935313343205,0.03905661863821455,0.35611469847926736,0.03900752440061166
17,0.3138863086003906,,0.2956542564662538,0.017051117504711912,0.3107353894311211,0.014699677968481645,0.3096156025243791,0.01454616737116985,0.13062306665890197,0.09598970818779899,0.3006744299729994,0.018217766824110762,0.32107254623740905,,0.3208122878732975,0.019499241963852346,0.32587167977585635,0.015694082547070807,0.32531588518482074,0.015544681071470376,0.2200359065557515,0.06539318658152594,0.32127715024594294,0.021286921483502173,0.30582392155190186,,0.3004615436045897,0.015609672883501905,0.31091984097083075,0.013705373733629896,0.3123418665791696,0.01372604701986464,0.2873692144802799,0.020428941318036863,0.30546847850162545,0.01648933345083502
18,0.350134521243682,,0.32222337001360435,0.018179727305672546,0.3451156220389466,0.017541700531095862,0.3433667914273771,0.017414173726474858,0.4071835408851952,0.05713594049352089,0.3675988209522948,0.028844867106001898,0.35974938666505907,,0.33927182223856234,0.019342833601057416,0.3618564616659916,0.01755337442859458,0.36155976789566874,0.017515332992544815,0.445402042337196,0.07241653579827,0.37746253089949927,0.0331425941918481,0.3276034259751255,,0.3239094126375873,0.01706396351970738,0.33566672220864774,0.015366246437999796,0.34480297685877587,0.015529246565341364,0.3334793807022478,0.020423161646960473,0.34000799258991493,0.019372969779121136
19,0.33393262170296273,,0.3358248013581989,0.02078017548621091,0.33653480730404656,0.014524754149243542,0.337554012060739,0.01451185352950994,0.3436042137512026,0.02096257378247146,0.3474976749113627,0.016997682306760287,0.3448238342433295,,0.33978252412856896,0.020112613364432746,0.3458892836911649,0.015395573110610676,0.3458329540927002,0.015395462097552142,0.24246930091139288,0.07875463107001222,0.355245358717419,0.06892763206924615,0.32611589131336816,,0.3358667638167027,0.021683114774191176,0.34027517037316396,0.01445545946860466,0.3435588247382902,0.014146727248617093,0.3824241626915588,0.0408908802246672,0.3522419407397764,0.017776449537760357
20,0.3414095103298394,,0.3342160844467976,0.018845758902846226,0.34545332319404776,0.014210677763557857,0.345423476934489,0.014141563182564012,0.32485642237509427,0.020878091781652695,0.33361045103084486,0.024945387800274686,0.3450545958313562,,0.34294080631138735,0.016979780474883327,0.34866866180404943,0.014869361869131247,0.3485775944513328,0.014824913489874693,0.34765259670353393,0.0157044924768369,0.34530083166705194,0.015433104097430109,0.32895071763093076,,0.33943567706050737,0.01694277361749753,0.3434117708624053,0.01439903688719083,0.34510386510082147,0.014160752915002718,0.33912068556932007,0.016057900770718166,0.33980870602770363,0.014567748616568963
21,0.3419529231993556,,0.3547604188075213,0.02414581595541384,0.3463191245220969,0.017761132226193,0.3457466952416145,0.017399604053312322,0.3355716318725238,0.02127964515260443,0.34258482987027744,0.02161097077586878,0.3555329476988856,,0.349009470040262,0.017893453155177576,0.35647523965337546,0.015318728198855198,0.3565053828455433,0.015317742452275641,0.30369390981737154,0.06491119968896775,0.34017492310130504,0.060705278929301436,0.334841986356725,,0.34455295579835965,0.01874459580514687,0.34593158836817545,0.015845907685668487,0.3474656356488398,0.015657893937053913,0.3364043429589914,0.018582988345041847,0.33937351471615934,0.021859197999874954
22,0.3321954133134551,,0.3249281436082763,0.01950571806697246,0.3303517146606375,0.01752120721882145,0.3297457643381959,0.017532813939273036,0.312943575178796,0.041729935673249764,0.33327071653158374,0.020961319906933264,0.3452491555314546,,0.34200163619601553,0.022048893236097683,0.34722964027674924,0.018840163399401255,0.3468757904029222,0.018762057875666628,0.3093224355310221,0.042062988243739725,0.33613351568252925,0.026793758587027598,0.31437189807648586,,0.32650970477580205,0.019415610440983104,0.32988792346303575,0.017013081679551317,0.33466200648044014,0.01631601450960249,0.31655231579593207,0.018030459299743413,0.31297888774256905,0.017979276264054714
23,0.34317509764339715,,0.3401172349641994,0.030642904296316425,0.341311366661073,0.0165713137692145,0.3417701410287779,0.016711872497282818,0.4352685589627556,0.09016846577748287,0.3504506617460196,0.017957980482941848,0.3527163623560499,,0.34504163071069305,0.02152455869083273,0.3495127890577315,0.02099055939487577,0.35009614348084445,0.02090460511876618,0.4692184034762925,0.08886661862523877,0.3566986365226076,0.06328972703908675,0.3296933465039984,,0.3341762446648723,0.020612449525139617,0.33998312792117846,0.015338629304877248,0.3435900534267677,0.01467521900805197,0.4200120736687392,0.07535457495304902,0.32994597558663646,0.05861072625116962
24,0.3321853316761983,,0.32719154891177465,0.021359170490966976,0.3287127579405432,0.01793758034628259,0.3278518904447269,0.01801520022655463,0.31969276777531347,0.03145711966927742,0.3102453515120205,0.023151485101084335,0.3417744461473955,,0.33144421711707445,0.019253016017005162,0.3398260744408224,0.018599918357130228,0.3399947604021107,0.018600150287570644,0.3021743102243491,0.05518259199329406,0.32289237932799886,0.05840346619426677,0.31239622534773753,,0.32745266457356437,0.020582375833107756,0.32789074595418527,0.017925092716362813,0.33117120459444177,0.017182063772784674,0.33195904841579843,0.020653447919547596,0.32654184453125457,0.01693221682630701
25,0.33633683992514707,,0.3183196978585578,0.02980326490566683,0.3193109897056708,0.035491088172081894,0.32712276480381675,0.03035201707546715,0.1715028651516797,0.10580039457788863,0.26025616756418296,0.013594937631418995,0.3525583719388624,,0.37365371531694513,0.038413001613054554,0.38637419842883763,0.0377031561902639,0.36151172658559727,0.030553912756763404,0.35481875503231974,0.051042147189048655,0.2917891931017755,0.07947259904192058,0.31953828841888604,,0.32611347658421674,0.018711633461617888,0.3322944962526616,0.016636399210200985,0.336541061491412,0.016739852099884597,0.35343169781976697,0.037878064674579465,0.34034815832612353,0.01859687317321478
