sim_id 586: ml_ate=-0.0802 ml_ey1=0.2530 ml_ey0=0.3332   [86 this run, 27.4s/dataset]
sim_id 587: ml_ate=-0.0733 ml_ey1=0.2515 ml_ey0=0.3248   [87 this run, 27.5s/dataset]
sim_id 588: ml_ate=-0.1059 ml_ey1=0.2320 ml_ey0=0.3380   [88 this run, 27.6s/dataset]
sim_id 589: ml_ate=-0.1097 ml_ey1=0.2366 ml_ey0=0.3463   [89 this run, 27.6s/dataset]
sim_id 590: ml_ate=-0.0855 ml_ey1=0.2436 ml_ey0=0.3291   [90 this run, 27.7s/dataset]
sim_id 591: ml_ate=-0.0848 ml_ey1=0.2388 ml_ey0=0.3237   [91 this run, 27.7s/dataset]
sim_id 592: ml_ate=-0.0889 ml_ey1=0.2490 ml_ey0=0.3380   [92 this run, 27.8s/dataset]
sim_id 593: ml_ate=-0.0713 ml_ey1=0.2444 ml_ey0=0.3157   [93 this run, 27.8s/dataset]
sim_id 594: ml_ate=-0.0727 ml_ey1=0.2438 ml_ey0=0.3165   [94 this run, 27.8s/dataset]
sim_id 595: ml_ate=-0.0890 ml_ey1=0.2434 ml_ey0=0.3325   [95 this run, 27.9s/dataset]
sim_id 596: ml_ate=-0.0756 ml_ey1=0.2575 ml_ey0=0.3331   [96 this run, 28.0s/dataset]
sim_id 597: ml_ate=-0.1046 ml_ey1=0.2465 ml_ey0=0.3510   [97 this run, 28.0s/dataset]
sim_id 598: ml_ate=-0.1183 ml_ey1=0.2306 ml_ey0=0.3489   [98 this run, 28.0s/dataset]
sim_id 599: ml_ate=-0.0591 ml_ey1=0.2696 ml_ey0=0.3287   [99 this run, 28.1s/dataset]
sim_id 600: ml_ate=-0.0803 ml_ey1=0.2570 ml_ey0=0.3373   [100 this run, 28.2s/dataset]
sim_id 601: ml_ate=-0.0849 ml_ey1=0.2458 ml_ey0=0.3307   [101 this run, 28.2s/dataset]
sim_id 602: ml_ate=-0.0541 ml_ey1=0.2567 ml_ey0=0.3108   [102 this run, 28.3s/dataset]
sim_id 603: ml_ate=-0.0747 ml_ey1=0.2430 ml_ey0=0.3177   [103 this run, 28.3s/dataset]
sim_id 604: ml_ate=-0.0556 ml_ey1=0.2654 ml_ey0=0.3210   [104 this run, 28.3s/dataset]
sim_id 605: ml_ate=-0.0810 ml_ey1=0.2492 ml_ey0=0.3302   [105 this run, 28.4s/dataset]
sim_id 606: ml_ate=-0.0947 ml_ey1=0.2449 ml_ey0=0.3396   [106 this run, 28.4s/dataset]
sim_id 607: ml_ate=-0.1183 ml_ey1=0.2306 ml_ey0=0.3490   [107 this run, 28.5s/dataset]
sim_id 608: ml_ate=-0.0811 ml_ey1=0.2482 ml_ey0=0.3293   [108 this run, 28.5s/dataset]
sim_id 609: ml_ate=-0.0718 ml_ey1=0.2433 ml_ey0=0.3151   [109 this run, 28.5s/dataset]
sim_id 610: ml_ate=-0.0762 ml_ey1=0.2455 ml_ey0=0.3217   [110 this run, 28.5s/dataset]
sim_id 611: ml_ate=-0.0688 ml_ey1=0.2502 ml_ey0=0.3190   [111 this run, 28.6s/dataset]
sim_id 612: ml_ate=-0.0708 ml_ey1=0.2483 ml_ey0=0.3191   [112 this run, 28.6s/dataset]
sim_id 613: ml_ate=-0.0917 ml_ey1=0.2474 ml_ey0=0.3391   [113 this run, 28.6s/dataset]
sim_id 614: ml_ate=-0.0996 ml_ey1=0.2258 ml_ey0=0.3255   [114 this run, 28.7s/dataset]
sim_id 615: ml_ate=-0.0807 ml_ey1=0.2470 ml_ey0=0.3277   [115 this run, 28.7s/dataset]
sim_id 616: ml_ate=-0.1055 ml_ey1=0.2427 ml_ey0=0.3482   [116 this run, 28.7s/dataset]
sim_id 617: ml_ate=-0.0938 ml_ey1=0.2442 ml_ey0=0.3379   [117 this run, 28.7s/dataset]
sim_id 618: ml_ate=-0.0963 ml_ey1=0.2430 ml_ey0=0.3393   [118 this run, 28.8s/dataset]
sim_id 619: ml_ate=-0.0667 ml_ey1=0.2658 ml_ey0=0.3324   [119 this run, 28.8s/dataset]
sim_id 620: ml_ate=-0.0791 ml_ey1=0.2587 ml_ey0=0.3378   [120 this run, 28.8s/dataset]
sim_id 621: ml_ate=-0.0898 ml_ey1=0.2435 ml_ey0=0.3333   [121 this run, 28.9s/dataset]
sim_id 622: ml_ate=-0.0626 ml_ey1=0.2559 ml_ey0=0.3185   [122 this run, 28.9s/dataset]
sim_id 623: ml_ate=-0.0768 ml_ey1=0.2478 ml_ey0=0.3246   [123 this run, 28.9s/dataset]
sim_id 624: ml_ate=-0.0731 ml_ey1=0.2456 ml_ey0=0.3188   [124 this run, 28.9s/dataset]
sim_id 625: ml_ate=-0.0950 ml_ey1=0.2408 ml_ey0=0.3358   [125 this run, 28.9s/dataset]
sim_id 626: ml_ate=-0.1020 ml_ey1=0.2437 ml_ey0=0.3456   [126 this run, 29.0s/dataset]
sim_id 627: ml_ate=-0.0871 ml_ey1=0.2470 ml_ey0=0.3341   [127 this run, 29.0s/dataset]
sim_id 628: ml_ate=-0.0713 ml_ey1=0.2439 ml_ey0=0.3152   [128 this run, 29.0s/dataset]
sim_id 629: ml_ate=-0.0723 ml_ey1=0.2570 ml_ey0=0.3293   [129 this run, 29.1s/dataset]
sim_id 630: ml_ate=-0.0893 ml_ey1=0.2394 ml_ey0=0.3288   [130 this run, 29.1s/dataset]
sim_id 631: ml_ate=-0.0973 ml_ey1=0.2421 ml_ey0=0.3393   [131 this run, 29.1s/dataset]
sim_id 632: ml_ate=-0.0763 ml_ey1=0.2431 ml_ey0=0.3194   [132 this run, 29.1s/dataset]
sim_id 633: ml_ate=-0.0833 ml_ey1=0.2628 ml_ey0=0.3462   [133 this run, 29.1s/dataset]
sim_id 634: ml_ate=-0.1069 ml_ey1=0.2223 ml_ey0=0.3292   [134 this run, 29.1s/dataset]
sim_id 635: ml_ate=-0.0899 ml_ey1=0.2528 ml_ey0=0.3427   [135 this run, 29.1s/dataset]
sim_id 636: ml_ate=-0.0865 ml_ey1=0.2381 ml_ey0=0.3245   [136 this run, 29.2s/dataset]
sim_id 637: ml_ate=-0.0658 ml_ey1=0.2416 ml_ey0=0.3074   [137 this run, 29.3s/dataset]
sim_id 638: ml_ate=-0.0671 ml_ey1=0.2553 ml_ey0=0.3224   [138 this run, 29.2s/dataset]
sim_id 639: ml_ate=-0.0689 ml_ey1=0.2419 ml_ey0=0.3108   [139 this run, 29.2s/dataset]
sim_id 640: ml_ate=-0.0839 ml_ey1=0.2463 ml_ey0=0.3302   [140 this run, 29.2s/dataset]
sim_id 641: ml_ate=-0.0554 ml_ey1=0.2679 ml_ey0=0.3233   [141 this run, 29.2s/dataset]
sim_id 642: ml_ate=-0.1004 ml_ey1=0.2407 ml_ey0=0.3411   [142 this run, 29.1s/dataset]
sim_id 643: ml_ate=-0.1033 ml_ey1=0.2200 ml_ey0=0.3233   [143 this run, 29.1s/dataset]
sim_id 644: ml_ate=-0.0746 ml_ey1=0.2598 ml_ey0=0.3345   [144 this run, 29.0s/dataset]
sim_id 645: ml_ate=-0.0751 ml_ey1=0.2508 ml_ey0=0.3259   [145 this run, 29.0s/dataset]
sim_id 646: ml_ate=-0.0709 ml_ey1=0.2679 ml_ey0=0.3388   [146 this run, 29.0s/dataset]
sim_id 647: ml_ate=-0.0866 ml_ey1=0.2333 ml_ey0=0.3199   [147 this run, 28.9s/dataset]
sim_id 648: ml_ate=-0.0640 ml_ey1=0.2707 ml_ey0=0.3347   [148 this run, 28.9s/dataset]
sim_id 649: ml_ate=-0.1102 ml_ey1=0.2162 ml_ey0=0.3265   [149 this run, 28.8s/dataset]
sim_id 650: ml_ate=-0.0687 ml_ey1=0.2527 ml_ey0=0.3214   [150 this run, 28.8s/dataset]
sim_id 651: ml_ate=-0.0999 ml_ey1=0.2342 ml_ey0=0.3341   [151 this run, 28.8s/dataset]
sim_id 652: ml_ate=-0.0742 ml_ey1=0.2514 ml_ey0=0.3256   [152 this run, 28.8s/dataset]
sim_id 653: ml_ate=-0.0682 ml_ey1=0.2528 ml_ey0=0.3210   [153 this run, 28.8s/dataset]
sim_id 654: ml_ate=-0.0682 ml_ey1=0.2506 ml_ey0=0.3187   [154 this run, 28.8s/dataset]
sim_id 655: ml_ate=-0.0826 ml_ey1=0.2534 ml_ey0=0.3360   [155 this run, 28.8s/dataset]
sim_id 656: ml_ate=-0.0705 ml_ey1=0.2627 ml_ey0=0.3332   [156 this run, 28.7s/dataset]
sim_id 657: ml_ate=-0.0867 ml_ey1=0.2355 ml_ey0=0.3221   [157 this run, 28.7s/dataset]
sim_id 658: ml_ate=-0.0626 ml_ey1=0.2682 ml_ey0=0.3308   [158 this run, 28.6s/dataset]
sim_id 659: ml_ate=-0.0833 ml_ey1=0.2534 ml_ey0=0.3367   [159 this run, 28.6s/dataset]
sim_id 660: ml_ate=-0.0648 ml_ey1=0.2608 ml_ey0=0.3256   [160 this run, 28.6s/dataset]
sim_id 661: ml_ate=-0.0565 ml_ey1=0.2621 ml_ey0=0.3186   [161 this run, 28.5s/dataset]
sim_id 662: ml_ate=-0.1023 ml_ey1=0.2416 ml_ey0=0.3439   [162 this run, 28.5s/dataset]
sim_id 663: ml_ate=-0.0776 ml_ey1=0.2499 ml_ey0=0.3275   [163 this run, 28.4s/dataset]
sim_id 664: ml_ate=-0.1029 ml_ey1=0.2182 ml_ey0=0.3210   [164 this run, 28.4s/dataset]
sim_id 665: ml_ate=-0.0982 ml_ey1=0.2331 ml_ey0=0.3313   [165 this run, 28.4s/dataset]
sim_id 666: ml_ate=-0.0623 ml_ey1=0.2668 ml_ey0=0.3291   [166 this run, 28.3s/dataset]
sim_id 667: ml_ate=-0.0816 ml_ey1=0.2580 ml_ey0=0.3396   [167 this run, 28.3s/dataset]
sim_id 668: ml_ate=-0.0857 ml_ey1=0.2476 ml_ey0=0.3333   [168 this run, 28.3s/dataset]
sim_id 669: ml_ate=-0.0884 ml_ey1=0.2279 ml_ey0=0.3163   [169 this run, 28.2s/dataset]
sim_id 670: ml_ate=-0.0723 ml_ey1=0.2559 ml_ey0=0.3282   [170 this run, 28.2s/dataset]
sim_id 671: ml_ate=-0.0757 ml_ey1=0.2538 ml_ey0=0.3295   [171 this run, 28.2s/dataset]
sim_id 672: ml_ate=-0.0724 ml_ey1=0.2564 ml_ey0=0.3288   [172 this run, 28.1s/dataset]
sim_id 673: ml_ate=-0.0692 ml_ey1=0.2444 ml_ey0=0.3136   [173 this run, 28.1s/dataset]
sim_id 674: ml_ate=-0.0764 ml_ey1=0.2706 ml_ey0=0.3470   [174 this run, 28.0s/dataset]
sim_id 675: ml_ate=-0.0570 ml_ey1=0.2574 ml_ey0=0.3145   [175 this run, 28.0s/dataset]
sim_id 676: ml_ate=-0.0672 ml_ey1=0.2654 ml_ey0=0.3326   [176 this run, 28.0s/dataset]
sim_id 677: ml_ate=-0.0607 ml_ey1=0.2825 ml_ey0=0.3433   [177 this run, 27.9s/dataset]
sim_id 678: ml_ate=-0.0741 ml_ey1=0.2497 ml_ey0=0.3238   [178 this run, 27.9s/dataset]
sim_id 679: ml_ate=-0.1079 ml_ey1=0.2306 ml_ey0=0.3385   [179 this run, 27.9s/dataset]
sim_id 680: ml_ate=-0.0709 ml_ey1=0.2521 ml_ey0=0.3230   [180 this run, 27.8s/dataset]
sim_id 681: ml_ate=-0.0960 ml_ey1=0.2398 ml_ey0=0.3358   [181 this run, 27.8s/dataset]
sim_id 682: ml_ate=-0.0744 ml_ey1=0.2569 ml_ey0=0.3314   [182 this run, 27.8s/dataset]
sim_id 683: ml_ate=-0.0804 ml_ey1=0.2453 ml_ey0=0.3257   [183 this run, 27.8s/dataset]
sim_id 684: ml_ate=-0.0863 ml_ey1=0.2497 ml_ey0=0.3360   [184 this run, 27.7s/dataset]
sim_id 685: ml_ate=-0.0288 ml_ey1=0.2691 ml_ey0=0.2979   [185 this run, 27.7s/dataset]
sim_id 686: ml_ate=-0.0690 ml_ey1=0.2548 ml_ey0=0.3238   [186 this run, 27.7s/dataset]
sim_id 687: ml_ate=-0.0802 ml_ey1=0.2567 ml_ey0=0.3369   [187 this run, 27.6s/dataset]
sim_id 688: ml_ate=-0.0667 ml_ey1=0.2481 ml_ey0=0.3148   [188 this run, 27.6s/dataset]
sim_id 689: ml_ate=-0.0591 ml_ey1=0.2569 ml_ey0=0.3159   [189 this run, 27.6s/dataset]
sim_id 690: ml_ate=-0.1061 ml_ey1=0.2300 ml_ey0=0.3361   [190 this run, 27.5s/dataset]
sim_id 691: ml_ate=-0.0844 ml_ey1=0.2317 ml_ey0=0.3161   [191 this run, 27.5s/dataset]
sim_id 692: ml_ate=-0.0584 ml_ey1=0.2702 ml_ey0=0.3286   [192 this run, 27.5s/dataset]
